id,area,antes_v3,cambio_v4,evidencia,estado
C01,Inmutabilidad,V3 final protegida,Copia independiente; V1/V2/V3/plantilla conservadas por SHA-256.,protected_hashes_v4.json,APLICADO
C02,Fuentes,Tres menciones internas indicaban 27 fuentes.,"Se corrigieron a 42, coincidiendo con Zotero y la bibliografía dinámica.",53 campos de cita; 42 claves únicas; 42 referencias.,APLICADO
C03,Trazabilidad,El anexo declaraba 82 afirmaciones.,"Se corrigió a 166, coincidiendo con la matriz reproducible.",matriz_afirmaciones_finales_v4.csv,APLICADO
C04,Redacción,Persistían expresiones editoriales de versiones y capas.,Se sustituyeron 23 expresiones localizadas por formulaciones académicas neutrales.,patch_v4_docx.py y auditoría de texto,APLICADO
C05,Terminología,Specification-Driven Development aparecía sin traducción inicial.,Primera mención traducida como desarrollo guiado por especificaciones (SDD).,Sección 4.1,APLICADO
C06,Zotero,Campos dinámicos de V3.,Zotero Refresh ejecutado en Word; APA 7 es-ES y actualización automática conservados.,zotero_refresh_v4.json,APLICADO
C07,Campos Word,Índices heredados de V3.,Tabla de contenido e índices de figuras y tablas actualizados completamente.,Tres campos TOC; PDF final,APLICADO
C08,Metadatos,El guardado Word usó el nombre abreviado de la cuenta.,Se restauró el autor completo y se mantuvo empresa vacía y locale es-ES.,sanitize_metadata_v4.py,APLICADO
C09,Composición,84 páginas; 82 antes de anexos.,"85 páginas; 83 antes de anexos; anexos 2,35 %.",word_export_v4.json,APLICADO
C10,Control visual,Acta V3.,Inspección de las 85 páginas exportadas por Word.,acta_revision_visual_v4.csv y ocho láminas de contacto,APLICADO
C11,Turnitin,Sin informe institucional.,Se mantiene como acción externa pendiente; no se inventa porcentaje ni resultado.,turnitin_status_v4.json,PENDIENTE_EXTERNO
