page,status,review_note
1,APROBADA,"Página 1: portada VIU, identificación y composición institucional; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
2,APROBADA,"Página 2: índices automáticos, numeración y saltos; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
3,APROBADA,"Página 3: índices automáticos, numeración y saltos; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
4,APROBADA,"Página 4: índices automáticos, numeración y saltos; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
5,APROBADA,"Página 5: índices automáticos, numeración y saltos; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
6,APROBADA,"Página 6: índices automáticos, numeración y saltos; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
7,APROBADA,"Página 7: índices automáticos, numeración y saltos; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
8,APROBADA,"Página 8: resumen, palabras clave y caja tipográfica; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
9,APROBADA,"Página 9: abstract, keywords y caja tipográfica; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
10,APROBADA,"Página 10: introducción, alcance, objetivos y Tabla 1; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
11,APROBADA,"Página 11: introducción, alcance, objetivos y Tabla 1; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
12,APROBADA,"Página 12: introducción, alcance, objetivos y Tabla 1; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
13,APROBADA,"Página 13: introducción, alcance, objetivos y Tabla 1; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
14,APROBADA,"Página 14: introducción, alcance, objetivos y Tabla 1; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
15,APROBADA,"Página 15: introducción, alcance, objetivos y Tabla 1; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
16,APROBADA,"Página 16: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
17,APROBADA,"Página 17: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
18,APROBADA,"Página 18: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
19,APROBADA,"Página 19: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
20,APROBADA,"Página 20: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
21,APROBADA,"Página 21: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
22,APROBADA,"Página 22: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
23,APROBADA,"Página 23: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
24,APROBADA,"Página 24: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
25,APROBADA,"Página 25: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
26,APROBADA,"Página 26: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
27,APROBADA,"Página 27: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
28,APROBADA,"Página 28: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
29,APROBADA,"Página 29: marco teórico, ecuaciones y estado del arte; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
30,APROBADA,"Página 30: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
31,APROBADA,"Página 31: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
32,APROBADA,"Página 32: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
33,APROBADA,"Página 33: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
34,APROBADA,"Página 34: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
35,APROBADA,"Página 35: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
36,APROBADA,"Página 36: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
37,APROBADA,"Página 37: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
38,APROBADA,"Página 38: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
39,APROBADA,"Página 39: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
40,APROBADA,"Página 40: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
41,APROBADA,"Página 41: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
42,APROBADA,"Página 42: metodología, tablas técnicas y ecuaciones; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
43,APROBADA,"Página 43: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
44,APROBADA,"Página 44: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
45,APROBADA,"Página 45: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
46,APROBADA,"Página 46: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
47,APROBADA,"Página 47: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
48,APROBADA,"Página 48: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
49,APROBADA,"Página 49: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
50,APROBADA,"Página 50: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
51,APROBADA,"Página 51: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
52,APROBADA,"Página 52: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
53,APROBADA,"Página 53: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
54,APROBADA,"Página 54: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
55,APROBADA,"Página 55: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
56,APROBADA,"Página 56: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
57,APROBADA,"Página 57: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
58,APROBADA,"Página 58: resultados, Tablas 9–13 y Figuras 1–6; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
59,APROBADA,"Página 59: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
60,APROBADA,"Página 60: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
61,APROBADA,"Página 61: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
62,APROBADA,"Página 62: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
63,APROBADA,"Página 63: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
64,APROBADA,"Página 64: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
65,APROBADA,"Página 65: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
66,APROBADA,"Página 66: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
67,APROBADA,"Página 67: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
68,APROBADA,"Página 68: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
69,APROBADA,"Página 69: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
70,APROBADA,"Página 70: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
71,APROBADA,"Página 71: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
72,APROBADA,"Página 72: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
73,APROBADA,"Página 73: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
74,APROBADA,"Página 74: discusión, síntesis crítica y Tabla 14; sin cortes, solapes, desbordes ni páginas vacías indebidas en la exportación Word."
